ID;Item;Item_eng;Category_eng;img;Carbohydrates (per 100g) - raw product;Sugar (per 100g) - raw product;Protein (per 100g) - raw product;Fat (per 100g) - raw product
62;Vanillepudding;Vanilla pudding;Sweets and snacks;Bild62.png;14,1;10,8;3;3,2
63;Chips;Chips;Sweets and snacks;Bild63.png;51;2,3;5,5;33
64;Salzstangen;Pretzel sticks;Sweets and snacks;Bild64.png;72;1,9;13;3,8
65;Apfeltasche;Apple turnover;Sweets and snacks;Bild65.png;34;15;3,5;12
66;Schokoladenkuchen;Chocolate cake;Sweets and snacks;Bild66.png;50;32;5,4;24
67;Käsekuchen;Cheesecake;Sweets and snacks;Bild67.png;33;21;7,3;18
68;Kekse;Cookies;Sweets and snacks;Bild68.png;57,9;32,1;6,3;26,1
69;Erdnüsse;Peanuts;Nuts;Bild69.png;11,2;5,2;24;51,2
70;Walnüsse;Walnuts;Nuts;Bild70.png;3,8;3,1;16,2;69,2
71;Schlagsahne;Whipped cream;Dairy products and eggs;Bild71.png;3,3;3,3;2,5;30
72;Kichererbsen;Chickpeas;Legumes;Bild72.png;16;0,4;6,6;2,6
73;Radieschen;Radishes;Vegetables;Bild73.png;2,1;2,2;1;0,1
74;Fischstäbchen;Fish sticks;Meat (substitutes) and fish;Bild74.png;18;0,8;13;8,6
75;vegetarische Salami;Vegetarian salami;Meat (substitutes) and fish;Bild75.png;9,4;4,4;32,8;9,4
76;Pommes;French fries;Cereal products and potatoes;Bild76.png;24;0,5;2,5;5,5
77;Kinderiegel;Kinder chocolate bar;Sweets and snacks;Bild77.png;53,5;53,3;8,6;35,1
78;Aubergine;Eggplant;Vegetables;Bild78.png;2,5;2,3;1,2;0,2
79;Reiswaffel;Rice cake;Cereal products and potatoes;Bild79.png;77,1;0,5;8,6;3,3
80;Traubenzucker;Dextrose;Sweets and snacks;Bild80.png;90,8;81,7;0;0,4
